SRC,MISSION_TIME,SS_TIME,ID,EVENT_INFO
SWCDH,2018-08-26 03:35:14.034,,EVENT,Auto imaging. Index = 184:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/184.jpg
SWCDH,2018-08-26 03:35:14.034,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/184.jpg
SWCDH,2018-08-26 03:35:14.034,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/184.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:35:14.034,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/184.jpg
SWCDH,2018-08-26 03:37:14.071,,EVENT,Auto imaging. Index = 185:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/185.jpg
SWCDH,2018-08-26 03:37:14.071,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/185.jpg
SWCDH,2018-08-26 03:39:14.077,,EVENT,Auto imaging. Index = 186:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/186.jpg
SWCDH,2018-08-26 03:39:14.077,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/186.jpg
SWCDH,2018-08-26 03:39:14.077,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/186.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:39:14.077,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/186.jpg
SWCDH,2018-08-26 03:41:14.095,,EVENT,Auto imaging. Index = 187:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/187.jpg
SWCDH,2018-08-26 03:41:14.095,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/187.jpg
SWCDH,2018-08-26 03:43:14.131,,EVENT,Auto imaging. Index = 188:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/188.jpg
SWCDH,2018-08-26 03:43:14.131,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/188.jpg
SWCDH,2018-08-26 03:43:14.131,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/188.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:43:14.131,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/188.jpg
SWCDH,2018-08-26 03:45:14.142,,EVENT,Auto imaging. Index = 189:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/189.jpg
SWCDH,2018-08-26 03:45:14.142,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/189.jpg
SWCDH,2018-08-26 03:47:14.164,,EVENT,Auto imaging. Index = 190:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/190.jpg
SWCDH,2018-08-26 03:47:14.164,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/190.jpg
SWCDH,2018-08-26 03:47:14.164,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/190.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:47:14.164,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/190.jpg
SWCDH,2018-08-26 03:49:14.205,,EVENT,Auto imaging. Index = 191:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/191.jpg
SWCDH,2018-08-26 03:49:14.205,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/191.jpg
SWCDH,2018-08-26 03:51:14.205,,EVENT,Auto imaging. Index = 192:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/192.jpg
SWCDH,2018-08-26 03:51:14.205,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/192.jpg
SWCDH,2018-08-26 03:51:14.205,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/192.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:51:14.205,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/192.jpg
SWCDH,2018-08-26 03:53:14.234,,EVENT,Auto imaging. Index = 193:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/193.jpg
SWCDH,2018-08-26 03:53:14.234,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/193.jpg
SWCDH,2018-08-26 03:55:14.272,,EVENT,Auto imaging. Index = 194:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/194.jpg
SWCDH,2018-08-26 03:55:14.272,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/194.jpg
SWCDH,2018-08-26 03:55:14.272,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/194.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:55:14.272,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/194.jpg
SWCDH,2018-08-26 03:57:14.298,,EVENT,Auto imaging. Index = 195:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/195.jpg
SWCDH,2018-08-26 03:57:14.298,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/195.jpg
SWCDH,2018-08-26 03:59:14.313,,EVENT,Auto imaging. Index = 196:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/196.jpg
SWCDH,2018-08-26 03:59:14.313,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/196.jpg
SWCDH,2018-08-26 03:59:14.313,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/196.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 03:59:14.313,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/196.jpg
SWCDH,2018-08-26 04:01:14.317,,EVENT,Auto imaging. Index = 197:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/197.jpg
